cod_dep;nom_dep;cod_mun;nom_mun;poblacion
25;Cundinamarca;25524;Pandi;5546
15;Boyacá;15522;Panqueba;1709
97;Vaupés;97777;Papunahua;816
68;Santander;68533;Páramo;4924
25;Cundinamarca;25530;Paratebueno;9584
25;Cundinamarca;25535;Pasca;10008
52;Nariño;52001;Pasto;392567
19;Cauca;19532;Patía;37793
15;Boyacá;15531;Pauna;7263
15;Boyacá;15533;Paya;2654
85;Casanare;85250;Paz de Ariporo;37690
15;Boyacá;15537;Paz de Río;4228
47;Magdalena;47541;Pedraza;9432
20;Cesar;20550;Pelaya;22754
05;Antioquia;05541;Peñol;22107
17;Caldas;17541;Pensilvania;19924
05;Antioquia;05543;Peque;8414
66;Risaralda;66001;Pereira;480803
15;Boyacá;15542;Pesca;6778
19;Cauca;19533;Piamonte;9335
68;Santander;68547;Piedecuesta;185020
73;Tolima;73547;Piedras;6781
19;Cauca;19548;Piendamó;42179
63;Quindío;63548;Pijao;5182
47;Magdalena;47545;Pijiño del Carmen;13108
68;Santander;68549;Pinchote;5445
13;Bolívar;13549;Pinillos;25066
08;Atlántico;08549;Piojó;7216
15;Boyacá;15550;Pisba;1806
41;Huila;41548;Pital;14041
41;Huila;41551;Pitalito;129710
47;Magdalena;47551;Pivijay;39570
73;Tolima;73555;Planadas;25871
23;Córdoba;23555;Planeta Rica;65305
47;Magdalena;47555;Plato;64998
52;Nariño;52540;Policarpa;9777
08;Atlántico;08558;Polonuevo;19899
08;Atlántico;08560;Ponedera;26194
19;Cauca;19001;Popayán;328139
85;Casanare;85263;Pore;12170
52;Nariño;52560;Potosí;10056
76;Valle del Cauca;76563;Pradera;48424
73;Tolima;73563;Prado;8439
88;Archipiélago de San Andrés, Providencia y Santa Catalina;88564;Providencia;6356
52;Nariño;52565;Providencia;5552
20;Cesar;20570;Pueblo Bello;30054
23;Córdoba;23570;Pueblo Nuevo;36784
66;Risaralda;66572;Pueblo Rico;16577
05;Antioquia;05576;Pueblorrico;8870
47;Magdalena;47570;Puebloviejo;32688
68;Santander;68572;Puente Nacional;15008
52;Nariño;52573;Puerres;8363
91;Amazonas;91530;Puerto Alegría;777
91;Amazonas;91536;Puerto Arica;1050
86;Putumayo;86568;Puerto Asís;68143
05;Antioquia;05579;Puerto Berrío;41345
15;Boyacá;15572;Puerto Boyacá;48622
86;Putumayo;86569;Puerto Caicedo;16226
99;Vichada;99001;Puerto Carreño;20578
08;Atlántico;08573;Puerto Colombia;54621
94;Guainía;94884;Puerto Colombia;1995
50;Meta;50450;Puerto Concordia;8640
23;Córdoba;23574;Puerto Escondido;24568
50;Meta;50568;Puerto Gaitán;43974
86;Putumayo;86571;Puerto Guzmán;37173
86;Putumayo;86573;Puerto Leguízamo;29903
23;Córdoba;23580;Puerto Libertador;43937
50;Meta;50577;Puerto Lleras;10440
50;Meta;50573;Puerto López;30563
05;Antioquia;05585;Puerto Nare;14664
91;Amazonas;91540;Puerto Nariño;10460
68;Santander;68573;Puerto Parra;8107
18;Caquetá;18592;Puerto Rico;26554
50;Meta;50590;Puerto Rico;12980
81;Arauca;81591;Puerto Rondón;5036
25;Cundinamarca;25572;Puerto Salgar;17333
91;Amazonas;91669;Puerto Santander;1786
54;Norte de Santander;54553;Puerto Santander;9391
19;Cauca;19573;Puerto Tejada;42126
05;Antioquia;05591;Puerto Triunfo;19268
68;Santander;68575;Puerto Wilches;34585
25;Cundinamarca;25580;Pulí;3575
52;Nariño;52585;Pupiales;17215
19;Cauca;19585;Puracé;17709
73;Tolima;73585;Purificación;23604
23;Córdoba;23586;Purísima;17731
25;Cundinamarca;25592;Quebradanegra;5123
25;Cundinamarca;25594;Quetame;5526
27;Chocó;27001;Quibdó;131886
63;Quindío;63594;Quimbaya;31514
66;Risaralda;66594;Quinchía;27484
15;Boyacá;15580;Quípama;5017
25;Cundinamarca;25596;Quipile;6796
54;Norte de Santander;54599;Ragonvalia;6426
15;Boyacá;15599;Ramiriquí;10147
15;Boyacá;15600;Ráquira;8085
85;Casanare;85279;Recetor;1813
13;Bolívar;13580;Regidor;7334
05;Antioquia;05604;Remedios;30094
47;Magdalena;47605;Remolino;12112
08;Atlántico;08606;Repelón;28606
50;Meta;50606;Restrepo;18812
76;Valle del Cauca;76606;Restrepo;15386
05;Antioquia;05607;Retiro;25146
25;Cundinamarca;25612;Ricaurte;14941
52;Nariño;52612;Ricaurte;20056
20;Cesar;20614;Río de Oro;18163
27;Chocó;27580;Río Iró;5638
27;Chocó;27600;Río Quito;8518
13;Bolívar;13600;Río Viejo;10892
73;Tolima;73616;Rioblanco;22680
76;Valle del Cauca;76616;Riofrío;15546
44;La Guajira;44001;Riohacha;206435
05;Antioquia;05615;Rionegro;145242
68;Santander;68615;Rionegro;27361
17;Caldas;17614;Riosucio;52411
27;Chocó;27615;Riosucio;55690
17;Caldas;17616;Risaralda;10659
41;Huila;41615;Rivera;25342
52;Nariño;52621;Roberto Payán;12693
76;Valle del Cauca;76622;Roldanillo;36984
73;Tolima;73622;Roncesvalles;5494
15;Boyacá;15621;Rondón;2390
19;Cauca;19622;Rosas;11631
73;Tolima;73624;Rovira;21551
68;Santander;68655;Sabana de Torres;34945
08;Atlántico;08634;Sabanagrande;35720
05;Antioquia;05628;Sabanalarga;9422
08;Atlántico;08638;Sabanalarga;101843
85;Casanare;85300;Sabanalarga;3602
47;Magdalena;47660;Sabanas de San Ángel;16984
05;Antioquia;05631;Sabaneta;89364
15;Boyacá;15632;Saboyá;13947
85;Casanare;85315;Sácama;2078
15;Boyacá;15638;Sáchica;5718
23;Córdoba;23660;Sahagún;111135
41;Huila;41660;Saladoblanco;10654
17;Caldas;17653;Salamina;19559
47;Magdalena;47675;Salamina;11468
54;Norte de Santander;54660;Salazar;10875
73;Tolima;73671;Saldaña;14514
63;Quindío;63690;Salento;9644
05;Antioquia;05642;Salgar;18544
15;Boyacá;15646;Samacá;18955
17;Caldas;17662;Samaná;20138
52;Nariño;52678;Samaniego;27735
70;Sucre;70670;Sampués;49501
41;Huila;41668;San Agustín;34010
20;Cesar;20710;San Alberto;29050
88;Archipiélago de San Andrés, Providencia y Santa Catalina;88001;San Andrés;58316
68;Santander;68669;San Andrés;8691
05;Antioquia;05647;San Andrés de Cuerquía;7394
23;Córdoba;23670;San Andrés de Sotavento;48434
52;Nariño;52835;San Andrés de Tumaco;257042
23;Córdoba;23672;San Antero;35328
73;Tolima;73675;San Antonio;12605
25;Cundinamarca;25645;San Antonio del Tequendama;13339
68;Santander;68673;San Benito;3005
70;Sucre;70678;San Benito Abad;30184
25;Cundinamarca;25649;San Bernardo;9341
52;Nariño;52685;San Bernardo;9169
23;Córdoba;23675;San Bernardo del Viento;37378
54;Norte de Santander;54670;San Calixto;12341
05;Antioquia;05649;San Carlos;16056
23;Córdoba;23678;San Carlos;27591
50;Meta;50680;San Carlos de Guaroa;12984
25;Cundinamarca;25653;San Cayetano;5176
54;Norte de Santander;54673;San Cayetano;7898
13;Bolívar;13620;San Cristóbal;8696
20;Cesar;20750;San Diego;20895
15;Boyacá;15660;San Eduardo;1672
13;Bolívar;13647;San Estanislao;19407
94;Guainía;94883;San Felipe;1753
13;Bolívar;13650;San Fernando;13215
